Filme;codec;tamanho;;
/media/DISC03/OsMeusFilmes/Cruel Intentions 3 (2004)/Cruel Intentions 3.LKRG.avi;mpeg4;704M;;
/media/DISC03/OsMeusFilmes/Crying Freeman (1998)/Crying Freeman (1995) [tt0112750].avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Date Movie (2006)/Uma.Comédia.Nada.Romántica.DUBLADO.2006.DVDRip.XviD.Mp3.By.Ratolino.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Dating Games People Play (2005)/Seducao.e.Confusao.Dvd5rip.Xvid.Dual.Jotas.Pipoca.e.Cia.by.filewarez.nl.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Day of Wrath (2006)/Day of Wrath (2006) [tt0353357].avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Disturbia (2007)/Disturbia[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/DOA Dead or Alive (2006)/DOA Dead or Alive (2006) [tt0398913].avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Doctor Strange (2007)/Doctor.Strange-The.Sorcerer.Supreme[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Dolphins (2007)/Dolphins (2007) [tt0490114].avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Don`t Look Back (2012)/Ne te retourne pas__WWW.OXE7.COM.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Dr. Dolittle 3 (2006)/Filmes Dr. Dolittle 3 (2006) [DUBLADO] [DVD-Rip].avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Drama (2010)/Drama__WWW.SECTORFILE.COM.avi;mpeg4;748M;;
/media/DISC03/OsMeusFilmes/Dreamcatcher (2003)/Dreamcatcher (2003) [tt0285531].avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Elizabeth The Golden Age (2007)/Elizabeth- A Idade de Ouro (2007).avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Eragon (2006)/Eragon[2006]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Evan Almighty (2007)/Evan.Almighty[2007]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Firehouse Dog (2007)/Firehouse Dog (2007) [tt0476995].avi;mpeg4;803M;;
/media/DISC03/OsMeusFilmes/Fireproof (2008)/Fireproof.DVDRip.XViD-PUKKA-cd1.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Fireproof (2008)/Fireproof.DVDRip.XViD-PUKKA-cd2.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Flags of Our Fathers (2006)/Flags of Our Fathers (2006) [tt0418689].avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Flash Gordon (1981)/Flash.Gordon__OXE7.COM.avi;mpeg4;1,8G;;
/media/DISC03/OsMeusFilmes/Flawless (2009)/Um Plano Brilhante (Flawless) 2007.DvDRip.Eng-FxM Legendado by Web4fun.avi;mpeg4;399M;;
/media/DISC03/OsMeusFilmes/Flight 93 (2006)/Flight.93[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Forbidden Warrior (2005)/Forbidden.Warrior.DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Frequency (2000)/Alta Frequencia Dual PtBr Eng DvdRip Ac3 Xvid Brazilinjapan by hidecool.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Friends with Money (2006)/Friends.with.Money[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Good Night, and Good Luck. (2006)/Good.Night.And.Good.Luck[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Goya`s Ghosts (2007)/Goyas.Ghosts.Cd1-iKA.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Goya`s Ghosts (2007)/Goyas.Ghosts.Cd2-iKA.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Grease 2 (1982)/Grease 2.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Griffin & Phoenix (2007)/O AMOR PODE DAR CERTO (Griffin.And.Phoenix) 2006.DVDRip.XviD-ZN Legendado by Web4Fun.avi;mpeg4;618M;;
/media/DISC03/OsMeusFilmes/Half Light (2006)/video - filmes - Protegida por um Anjo (Half Light 2006) Dvdrip Legendado Pt.avi;mpeg4;775M;;
/media/DISC03/OsMeusFilmes/Half Past Dead 2 (2007)/No Corredor da morte 2. [HALF.PAST.DEAD.2] -lançamento 2007•-( Dublado Br xvid) by Marcão.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Happily N`Ever After (2007)/Happily.N'Ever.After[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Hole in One (2010)/American.Pie.Hole.in.One.DVDRip.XViD.AC3-REVTEAM.avi;mpeg4;2,0G;;
/media/DISC03/OsMeusFilmes/Hot Rod (2007)/Hot.Rod[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/I Know Who Killed Me (2007)/Eu.Sei.Quem.Me.Matou.2008.DUBLADO.DVDRip.XviD.Audio.Mp3.[By Ratolino].avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/I Spit on Your Grave Unrated (2011)/I Spit On Your Grave cd1__WWW.DOWN7.NET.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/I Spit on Your Grave Unrated (2011)/I Spit On Your Grave cd2__WWW.DOWN7.NET.avi;mpeg4;697M;;
/media/DISC03/OsMeusFilmes/Idiocracy (2007)/Idiocracy[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Interview (2008)/Interview[2007]DvDrip AC3[Eng]-FXG.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Iron Man (2008)/Iron.Man.DVDRip.XviD.AC3-DEViSE-CD1.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Iron Man (2008)/Iron.Man.DVDRip.XviD.AC3-DEViSE-CD2.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/It`s Complicated (2010)/Its complicated__WWW.PIRATATUGA CD1.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/It`s Complicated (2010)/Its complicated__WWW.PIRATATUGA CD2.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Jack Irish Bad Debts (2012)/Jack Irish Bad Debts CD1.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Jack Irish Bad Debts (2012)/Jack Irish Bad Debts CD2.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Jack Irish Black Tide (2012)/Jack Irish Black Tide__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Jennifer`s Body (2009)/Jennifer's Body__WWW.PIRATATUGA.NET.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Jesse Stone No Remorse (2010)/Jesse Stone No Remorse__WWW.PIRATATUGA.NET.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Julie & Julia (2009)/Julie.and.Julia.DVDRip.XviD-iMBT-CD1.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Julie & Julia (2009)/Julie.and.Julia.DVDRip.XviD-iMBT-CD2.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Just Wright (2010)/Just.Wright.2010.BDRip.XviD-TFREAKS.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Justice League The New Frontier (2008)/Liga.Da.Justiça.[A Nova Fronteira].2008.DUBLADO.DVDRip.XviD.Audio.Mp3.[By Ratolino].[ShareBrasil].avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Kaw (2007)/Corvos.Dublado.2008.DVDRip.Audio.Mp3.XviD.By.Sergio.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Killers (2010)/Killers__WWW.PIRATATUGA.NET.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Krrish (2006)/Krrish (2006) [tt0432637].avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Les Misérables (1998)/Les Miserables (Os Miseráveis - 1998).dvdrip.xvid.legendado.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Life as We Know It (2010)/Life As We No It__WWW.DOWN7.NET.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Like Mike (2002)/P.G.A.Dublado.DVDRip.By.Tetsudau.[ShareBrasil].avi;mpeg4;571M;;
/media/DISC03/OsMeusFilmes/Little Black Book (2005)/Filme - Comedia Romantica - A Agenda Secreta Do Meu Namorado (Little Black Book, Eua, 2004) Dublado.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Little Children (2007)/Pecados.Intimos.DVDRip.XviD-NoGrp.avi;mpeg4;801M;;
/media/DISC03/OsMeusFilmes/Love Happens (2009)/devise-lhapr5.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Love Stories Only Last 90 minutes (2010)/Histórias de Amor Duram Apenas 90 Minutos__WWW.PIRATATUGA.NET.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Lucky Number Slevin (2006)/Lucky.Number.Slevin[2006]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Management (2010)/Management_dvdrip.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Miami Vice (2006)/Miami.Vice.UNRATED.DVDRip.XviD-iMBT.cd1.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Miami Vice (2006)/Miami.Vice.UNRATED.DVDRip.XviD-iMBT.cd2.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Monster-in-Law (2005)/Monster-in-Law[2005]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Mr. Brooks (2007)/Instinto Secreto (Mr Brooks 2007) Real Repack r5 Dvdrip Xvid-Pukka Legendado By.avi;mpeg4;687M;;
/media/DISC03/OsMeusFilmes/Mr. Woodcock (2008)/Mr.Woodcock.2007.DvDRip.AC3 5.1-FxM.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/My Own Love Song (2010)/My.Own.Love.Song.2010.BDRip.XviD.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Mystery of the Nile (2006)/IMAX.--.El.Misterio.del.Nilo.[Documental-IMAX].[Spanish.DVDRip.XviD+AC3-5.1].by.prote288.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Naked Weapon (2002)/Fatal.Dual.PtBr.Eng.Brazilinjapan.by.hidecool.[ShareBrasil].avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Nanny McPhee Returns (2010)/Nanny.McPhee.And.The.Big.Bang.DVDRip.XviD-ALLiANCE.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/National Lampoon Presents Dorm Daze (2004)/FILMES - Nota.10.Em.Confusao.DUBLADO.2007.DVDRip.XviD.Audio.MP3.Marcio.Jipa.qualidade.By.Ratolino.avi;mpeg4;694M;;
/media/DISC03/OsMeusFilmes/Neighbor (2009)/Neighbor__WWW.SECTORFILE.COM.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Never Let Me Go (2011)/Never Let Me Go.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/New in Town (2009)/New.in.Town.BRRip.XviD.AC3-DEViSE.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Next Day Air (2009)/Next.Day.Air.DVDRip.XviD-DiAMOND.avi;mpeg4;697M;;
/media/DISC03/OsMeusFilmes/Nine (2010)/Nine__WWW.PIRATATUGA.NET CD1.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Nine (2010)/Nine__WWW.PIRATATUGA.NET CD2.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Ninja (2009)/Ninja.2009.DVDRip.XviD.AC3-ViSiON.avi;mpeg4;1,5G;;
/media/DISC03/OsMeusFilmes/No Reservations (2007)/No Reservations KLAXXON.avi;mpeg4;906M;;
/media/DISC03/OsMeusFilmes/O Leão da Estrela (1947)/O Leão da Estrela.avi;mpeg4;757M;;
/media/DISC03/OsMeusFilmes/Ocean`s Twelve (2005)/Ocean`s Twelve DVD.mkv;mpeg2video;4,1G;;
/media/DISC03/OsMeusFilmes/Ondine (2010)/Ondine_dvdrip.avi;mpeg4;705M;;
/media/DISC03/OsMeusFilmes/Our Family Wedding (2010)/Our Family Wedding_dvdrip.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Out of Time (2004)/J-OOTime.DVDRip.XviD-DiAMOND.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Outlaw (2007)/Outlaw DVD.mkv;mpeg2video;4,2G;;
/media/DISC03/OsMeusFilmes/Paper Man (2009)/Paper Man__WWW.PIRATATUGA.NET.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Passing Strange (2009)/Passing Strange dvdrip CD1.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Passing Strange (2009)/Passing Strange dvdrip CD2.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Peaceful Warrior (2007)/Peaceful.Warrior.DVDRip.XviD-NoGrp.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Perfect Stranger (2007)/Um.Perfeito.Estranho.DVDRip.XviD-NoGrp.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Peter and Vandy (2009)/Peter and Vandy__WWW.PIRATATUGA.NET.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Planet Terror (2007)/Grindhouse-Planet.Terror[2007][Unrated.Edition]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Pledge This! (2006)/National.Lampoons.Pledge.This.2006.LiMiTED.DVDRip.XviD-BeStDivX.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Possession (2002)/Possession__WWW.PIRATATUGA.NET.avi;mpeg4;696M;;
/media/DISC03/OsMeusFilmes/Prince of Persia The Sands of Time (2010)/Prince.Of.Persia.2010.R4.DVDRip.XviD.AC3-ViSiON2.avi;mpeg4;1,5G;;
/media/DISC03/OsMeusFilmes/Quarantine (2009)/Quarantine__WWW.PIRATATUGA.NET.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Raising Helen (2004)/Raising Helen DVD.mkv;mpeg2video;4,3G;;
/media/DISC03/OsMeusFilmes/Reincarnation (2006)/Reincarnation[Rinne]][2005]DvDrip.AC3[Eng-Hard.Sub]-aXXo.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Remember Me (2010)/Remember.Me.by.Daxco.for.MSNM-UpPTMSNM.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Rent Control (2003)/Tia.Agatha.Dvd5rip.Xvid.Dual.Jotas.[ShareBrasil].avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Rest Stop (2006)/ROTA MORTAL (Rest Stop).LANCAMENTO 2007.Legendado PT-BR.XviD.Qualidade by Sergio Qualidade Ratolino.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Riverworld (2010)/Riverworld.2010.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Robin Hood (2010)/Robin Hood__WWW.PIRATATUGA.NET.avi;mpeg4;2,4G;;
/media/DISC03/OsMeusFilmes/RoboCop Prime Directives Crash and Burn (2001)/Robocop Prime Directives EP4 Crash & Burn.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/RoboCop Prime Directives Dark Justice (2001)/Robocop Prime Directives EP1 Dark Justice.avi;mpeg4;400M;;
/media/DISC03/OsMeusFilmes/RoboCop Prime Directives Meltdown (2001)/Robocop Prime Directives EP2  Meltdown.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/RoboCop Prime Directives Resurrection (2001)/Robocop Prime Directives EP3 Resurrection.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Robot & Frank (2013)/Robot and Frank__WWW.OXE7.COM.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Roma (2004)/Roma.Um.Nome.de.Mulher.Legendado.PtBr.DVDRip.XVID.Mp3.Brazilinjapan.by.hidecool.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/RRRrrrr!!! (2004)/RRRrrrr!!! DVD.mkv;mpeg2video;3,3G;;
/media/DISC03/OsMeusFilmes/Rules of Engagement (2000)/Rules of Engagement DVD.mkv;mpeg2video;4,7G;;
/media/DISC03/OsMeusFilmes/S.W.A.T. (2004)/Swat 2 Dublado 2006 Dvdrip Xvid.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Salt (2010)/Salt_r5.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Sammy`s Adventures The Secret Passage (2010)/A Turtles Tale Sammys Adventure.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Saving God (2008)/savinggod.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Scary Movie 4 (2006)/Filmes - Todo Mundo Em Pânico 4 (Dublado)2006 - Comédia.avi;mpeg4;713M;;
/media/DISC03/OsMeusFilmes/Secret Window (2004)/secretwindow_dvdrip.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Sex and the City 2 (2010)/Sex And The City 2__WWW.PIRATATUGA.NET.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Sexo, Amor e Traição (2004)/Filme Comedia - Sexo Amor e Traicao - Brasileiro.avi;mpeg4;663M;;
/media/DISC03/OsMeusFilmes/Shanghai (2010)/Shanghai__WWW.DOWN7.NET.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/Shaun of the Dead (2004)/Todo Mundo Quase Morto (comedia)--Dublado--pt--br..divx.avi;mpeg4;772M;;
/media/DISC03/OsMeusFilmes/She`s the Man (2006)/- Ela é O Cara 2007 Dublado Dvdrip Xvid Audio Mp3 By Ratolino.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Shelter (2010)/Shelter__WWW.PIRATATUGA.NET.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Shutter Island (2010)/Shutter.Island.2009.480p.BRRip.XviD.AC3-ViSiON.avi;mpeg4;2,2G;;
/media/DISC03/OsMeusFilmes/Slumdog Millionaire (2009)/Slumdog Millionaire DVD.mkv;mpeg2video;4,0G;;
/media/DISC03/OsMeusFilmes/Snow Buddies (2008)/snow.buddies.dvdrip.xvid-imagineers.avi;mpeg4;704M;;
/media/DISC03/OsMeusFilmes/So Normal (2003)/Filmes - Os.Normais - O Filme.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Solitary Man (2010)/Solitary.Man.avi;mpeg4;704M;;
/media/DISC03/OsMeusFilmes/Spirits (2004)/Sobrenatural.2004.DVDrip.XviD.dublado.dedeia.eDonkers.avi;mpeg4;697M;;
/media/DISC03/OsMeusFilmes/Starship Troopers 2 Hero of the Federation (2004)/Starship Troopers 2 Hero of the Federation DVD.mkv;mpeg2video;2,5G;;
/media/DISC03/OsMeusFilmes/StarStruck (2010)/StarStruck.2010.HDTV.XviD-MEDiC.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Step Up 2 The Streets (2009)/Step.Up.2.The.Streets.DVDRip.XviD-DiAMOND.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Step Up 3D (2010)/Step Up 3D cd1__WWW.DOWN7.NET.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Step Up 3D (2010)/Step Up 3D cd2__WWW.DOWN7.NET.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Sunshine (2007)/SUNSHINE 2007 ( ALERTA SOLAR) ( IMAGEM DE DVD) LEGENDADO BY PREEMOS QUALITY DVDS.avi;mpeg4;686M;;
/media/DISC03/OsMeusFilmes/Ten Inch Hero (2007)/Ten Inch Hero DVD.mkv;mpeg2video;4,0G;;
/media/DISC03/OsMeusFilmes/That Evening Sun (2009)/That Evening Sun__WWW.PIRATATUGA.NET.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The 7 Adventures of Sinbad (2010)/The.7.Adventures.of.Sinbad.2010.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The A-Team (2010)/The A-Team[2010]DvDrip[Eng]-FXG.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Accidental Husband (2009)/The Accidental Husband.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Art of War II Betrayal (2008)/The Art of War II Betrayal DVD.mkv;mpeg2video;4,2G;;
/media/DISC03/OsMeusFilmes/The Assassin Next Door (2009)/Kirot.2009.DVDRip.XviD-VoMiT.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The Babysitters (2007)/The.Babysitters.2007.LiMiTED.DVDRip.XviD-LMG.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Bannen Way (2010)/The.Bannen.Way[2010]DvDrip-aXXo.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The Book of Eli (2010)/The.Book.of.Eli.by.Daxco.for.MSNM-UpPTMSNM.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/The Boys Are Back (2010)/d-boys.are.back.xvid.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/The Celestine Prophecy (2006)/profecia.celestina.dvd5rip.xvid.dual.www.therebels.com.br.by.onix.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The City of Your Final Destination (2010)/The City of Your Final Destination WWW.PIRATATUGA.NET CD1.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/The City of Your Final Destination (2010)/The City of Your Final Destination WWW.PIRATATUGA.NET CD2.avi;mpeg4;696M;;
/media/DISC03/OsMeusFilmes/The Condemned (2007)/The.Condemned[2007]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The Contender (2000)/The Contender DVD.mkv;mpeg2video;4,0G;;
/media/DISC03/OsMeusFilmes/The Courageous Heart of Irena Sendler (2009)/The.Courageous.Heart.Of.Irena.Sendler.2009.DVDRiP.XviD-DvF.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/The Disappearance of Alice Creed (2010)/The Disappearance of Alice Creed__WWW.PIRATATUGA.NET.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Door in the Floor (2004)/The Door in the Floor DVD.mkv;mpeg2video;3,9G;;
/media/DISC03/OsMeusFilmes/The Emerald Forest (1985)/The Emerald Forest DVD.mkv;mpeg2video;5,5G;;
/media/DISC03/OsMeusFilmes/The Expendables (2010)/The.Expendables.2010.480p.BRRip.XviD.AC3-ViSiON.avi;mpeg4;1,5G;;
/media/DISC03/OsMeusFilmes/The Final Destination (2009)/The.Final.Destination.3D.2009.DVDRip.XviD-VoMiT.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/The Frozen (2012)/The Frozen__WWW.OXE7.COM.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/The Ghost Writer (2010)/The.Ghost.Writer[2010]DvDrip[Eng]-FXG.avi;mpeg4;801M;;
/media/DISC03/OsMeusFilmes/The Girl in the Park (2008)/The Girl in the Park__WWW.PIRATATUGA.NET.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Girl Who Played with Fire (2010)/The Girl Who Played With Fire DVDRip Xvid AC3-THC.avi;mpeg4;1,8G;;
/media/DISC03/OsMeusFilmes/The Girl with the Dragon Tattoo (2009)/Os.Homens.Que.Odeiam.As.Mulheres.2009.DVDRip.XviD.AC3-EVO.avi;mpeg4;1,4G;;
/media/DISC03/OsMeusFilmes/The Girlfriend Experience (2009)/The.Girlfriend.Experience.DVDRip.XViD-ARiGOLD.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Good Guy (2010)/The Good Guy[2009]DvDrip[Eng]-FXG.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Goonies (1985)/Os Goonies.mp4;mpeg4;1,8G;;
/media/DISC03/OsMeusFilmes/The Great Buck Howard (2009)/The Great Buck Howard-xvid.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/The Greatest (2009)/The Greatest__WWW.PIRATATUGA.NET.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/The Happening (2008)/The Happening DVD.mkv;mpeg2video;3,1G;;
/media/DISC03/OsMeusFilmes/The Haunted Mansion (2004)/Walt Disney - Mansão Mal Assombrada - Dublado PTBr.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/The Hoax (2007)/O.Vigarista.Do.Ano.2007.DUBLADO.DVDRip.XviD.Audio.Mp3.[By Ratolino].avi;mpeg4;781M;;
/media/DISC03/OsMeusFilmes/The Kite Runner (2008)/The Kite Runner [O caçador de pipas] legendado ptbr.avi;mpeg4;655M;;
/media/DISC03/OsMeusFilmes/The Last Kiss (2007)/The Last Kiss (Um Beijo A Mais) 2007 - Legendado Cd 1 - - By Gmm.avi;mpeg4;691M;;
/media/DISC03/OsMeusFilmes/The Last Kiss (2007)/The Last Kiss (Um Beijo A Mais) 2007 - Legendado Cd 2 - - By Gmm.avi;mpeg4;716M;;
/media/DISC03/OsMeusFilmes/The Learning Curve (2001)/The Learning Curve (2001) [tt0219126].avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/The Lodger (2009)/The Lodger DVD.mkv;mpeg2video;2,9G;;
/media/DISC03/OsMeusFilmes/The Love Guru (2008)/The Love Guru DVD.mkv;mpeg2video;3,4G;;
/media/DISC03/OsMeusFilmes/The Matador (2006)/O.Matador.DUBLADO.2006.DVDRip.XviD.2.Audios.Mp3.By.Ratolino.avi;mpeg4;704M;;
/media/DISC03/OsMeusFilmes/The Perfect Storm (2000)/The Perfect Storm DVD.mkv;mpeg2video;3,9G;;
/media/DISC03/OsMeusFilmes/The Slaughter (2006)/Massacre,O.Dual.PtBr.Eng.Brazilinjapan.by.hidecool.[ShareBrasil].avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/The Wizard of Oz (1940)/O Mágico De Oz.avi;mpeg4;952M;;
/media/DISC03/OsMeusFilmes/Things We Lost in the Fire (2008)/Coisas Que Perdemos Pelo Caminho, 2007 - (DVDSCR.DviX6.MP3) - Legendado BR - by CO2.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/TMNT (2007)/As.Tartarugas.Ninja.O.Retorno.DUBLADO.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Touching the Void (2004)/Touching.The.Void.LIMITED.DVDRip.XViD-SCREAM.avi;mpeg4;698M;;
/media/DISC03/OsMeusFilmes/Truth or Consequences, N.M. (1997)/Truth or Consequences, N.M. DVD.mkv;mpeg2video;3,9G;;
/media/DISC03/OsMeusFilmes/Turistas (2007)/Turistas - Legendado - Pt.avi;mpeg4;861M;;
/media/DISC03/OsMeusFilmes/Unrest (2007)/Unrest[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Vacancy (2007)/Vacancy.2007.DVDRip.XviD.AC3.CD1-BKL.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Vacancy (2007)/Vacancy.2007.DVDRip.XviD.AC3.CD2-BKL.avi;mpeg4;702M;;
